prompt_id,prompt,continuation_text,token_idx,token_id,token_str,p_a,p_b,logp_a,logp_b,delta_logp,ratio_pA_over_pB,log10_ratio
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",0,407, not,0.08403671730721422,0.03800154399854054,-2.47650146484375,-3.2701284885406494,0.7936270236968994,2.2114027080173817,0.3446678370808647
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",1,655, just,0.024198234544282143,0.02931606282901712,-3.721475601196289,-3.5296196937561035,-0.19185590744018555,0.8254257976391927,-0.08332196192181361
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",2,284, to,0.30781736462734516,0.10803821505959191,-1.178248643875122,-2.2252702713012695,1.0470216274261475,2.849152630460978,0.45471571522453824
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",3,1104, support,0.009529670775481457,0.008482730072002112,-4.653345108032227,-4.769722938537598,0.1163778305053711,1.1234202543983867,0.05054224960435459
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",4,262, the,0.13346464893015758,0.10916065448857461,-2.01391863822937,-2.2149345874786377,0.20101594924926758,1.2226442719260793,0.08730011753350102
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",5,1919, social,0.019848829081683308,0.003924048826747736,-3.9196102619171143,-5.540631294250488,1.621021032333374,5.058252319998291,0.7040004893914971
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",6,2775, contract,0.03680260208322162,0.013368065740138841,-3.3021867275238037,-4.314886569976807,1.012699842453003,2.7530237207555346,0.4398099534016316
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",7,475, but,0.3113195370714815,0.16669344754867857,-1.1669354438781738,-1.7915987968444824,0.6246633529663086,1.8676171238258699,0.2712878472404511
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",8,635, also,0.397581658180834,0.4450658369321485,-0.9223549365997314,-0.8095330595970154,-0.11282187700271606,0.8933097649583165,-0.04899791862024697
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",9,284, to,0.882182300004583,0.7941258576731792,-0.1253565549850464,-0.2305133193731308,0.10515676438808441,1.110884743873487,0.045669002508545435
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",10,7719, promote,0.04210692035447868,0.015877499363648507,-3.1675431728363037,-4.142852306365967,0.9753091335296631,2.65198690235078,0.42357137484177443
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",11,340, it,0.0684871304227119,0.04369690927853485,-2.6811094284057617,-3.1304779052734375,0.4493684768676758,1.5673220727387853,0.19515824984490063
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",12,13,.,0.585946829065623,0.5959268394710177,-0.5345262289047241,-0.5176373720169067,-0.016888856887817383,0.983252960356252,-0.007334737352032815
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",13,383, The,0.10753376066628373,0.10450709265323725,-2.229950428009033,-2.258500337600708,0.028549909591674805,1.0289613645945468,0.012399068194501088
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",14,2597, role,0.04842909984762828,0.035248253457783436,-3.0276544094085693,-3.345339298248291,0.3176848888397217,1.3739432481564355,0.13796879420713906
0,The role of large language models in modern society is," not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it. The role of large language models in modern society is not just to support the social contract but also to promote it.
",15,286, of,0.9545927628086867,0.9328183703358556,-0.04647045582532883,-0.06954476982355118,0.02307431399822235,1.023342585400619,0.010021047243130927
