model_a,model_b,token_idx,token_id,token_str,p_a,p_b,ratio_pA_over_pB
gpt2,gpt2-medium,1,262, the,0.009817259,8.04E-06,1221.363622
gpt2,gpt2-medium,2,4380, People,0.010772041,0.404983904,0.026598689
gpt2,gpt2-medium,3,286, of,0.032282294,0.11144311,0.289675104
gpt2,gpt2-medium,4,262, the,0.504704685,0.722525704,0.698528346
gpt2,gpt2-medium,5,1578, United,0.166077383,0.601166707,0.27625845
gpt2,gpt2-medium,6,1829, States,0.964064203,0.990113627,0.973690471
gpt2,gpt2-medium,7,11,",",0.124419817,0.421658747,0.295072302
gpt2,gpt2-medium,8,287, in,0.020000924,0.959510406,0.020844926
gpt2,gpt2-medium,9,8284, Order,0.002592342,0.835420784,0.003103038
gpt2,gpt2-medium,10,284, to,0.850693007,0.999364065,0.851234336
gpt2,gpt2-medium,11,1296, form,0.013585778,0.979123353,0.01387545
gpt2,gpt2-medium,12,257, a,0.612680123,0.991137711,0.618158422
gpt2,gpt2-medium,13,517, more,0.025245769,0.997673691,0.025304635
gpt2,gpt2-medium,14,2818, perfect,0.076967497,0.993919144,0.077438389
gpt2,gpt2-medium,15,4479, Union,0.814666899,0.994254177,0.819374882
gpt2,gpt2-medium,16,11,",",0.612466527,0.976580643,0.627154072
gpt2,gpt2-medium,17,4474, establish,0.019260555,0.997807196,0.019302882
gpt2,gpt2-medium,18,4796, Justice,0.243004491,0.914283523,0.265786799
gpt2,gpt2-medium,19,11,",",0.218189112,0.998450063,0.218527816
gpt2,gpt2-medium,20,38976, insure,0.861480339,0.999374543,0.862019495
gpt2,gpt2-medium,21,5928, domestic,0.025743022,0.99676396,0.025826598
gpt2,gpt2-medium,22,833, Tr,0.035717264,0.999627014,0.035730591
gpt2,gpt2-medium,23,26184,anqu,0.882509915,0.998087851,0.884200638
gpt2,gpt2-medium,24,879,ility,0.924646953,0.843422784,1.096303029
gpt2,gpt2-medium,25,11,",",0.834676569,0.992520784,0.840966339
gpt2,gpt2-medium,26,2148, provide,0.022960013,0.995579322,0.023061963
gpt2,gpt2-medium,27,329, for,0.98299926,0.999963642,0.983035001
gpt2,gpt2-medium,28,262, the,0.82389944,0.999812757,0.824053738
gpt2,gpt2-medium,29,2219, common,0.400946723,0.993042224,0.403755967
gpt2,gpt2-medium,30,9366, defence,0.120195849,0.798670126,0.150494985
gpt2,gpt2-medium,31,11,",",0.800587515,0.995834371,0.803936416
gpt2,gpt2-medium,32,7719, promote,0.248697526,0.989128861,0.251430866
gpt2,gpt2-medium,33,262, the,0.814394279,0.999455272,0.814838144
gpt2,gpt2-medium,34,2276, general,0.322214181,0.99916028,0.322484978
gpt2,gpt2-medium,35,32404, Welfare,0.970763145,0.975601156,0.995040995
gpt2,gpt2-medium,36,11,",",0.897966384,0.995703402,0.901841233
gpt2,gpt2-medium,37,290, and,0.177041174,0.987212942,0.179334332
gpt2,gpt2-medium,38,5713, secure,0.906804779,0.998799337,0.907894855
gpt2,gpt2-medium,39,262, the,0.805266608,0.700064072,1.150275582
gpt2,gpt2-medium,40,49629, Bless,0.934437702,0.992164269,0.941817531
gpt2,gpt2-medium,41,654,ings,0.998062201,0.999255854,0.998805458
